Ville;POMMES DE TERRE ;TOMATES ;OIGNONS;AILS ;MELONS PASTEQUES ;CAROTTES;PIMENTS ;POIVRONS ;CONCOMBRES;COURGETTES ;AUBERGINES ;ARTICHAUTS;CHOUX VERTS ;CHOUX FLEURS ;NAVETS;FEVES VERTES ;HARICOTS VERTS ;PETITS POIS;AUTRES LEGUMES;Total;BLE DUR ;BLE TENDRE;ORGE ;AVOINE;TRITICALE ;Mais;Sorgho;Tomates indus;Tabac;Arachides;Autres;Feves feveroles;Pois secs;Lentilles;Pois chiches;Haricots secs;Gesses & guerfalas
1 ADRAR;195;253.2;120;55;98.7;115.2;117.3;150.7;422.5;90.6;108.3;0;46.2;41.3;111;53;115.8;46.5;97.4;134.1;42.2;33;25;28.1;0;30.7;21;376.5;31.9;15.2;97.8;0;0;6.3;0;0;0
2 CHLEF;301.1;634.2;450.8;79;559.7;415.3;91;209.8;533.8;242.7;490.3;450;500;485.6;447.4;156.7;95.7;80;386.9;368.9;25;23;18;15;0;0;0;770;0;0;0;12.5;10;12;11;0;0
3 LAGHOUAT;282.9;321.4;239.4;80;203.9;210;210;300;219.4;380;318.8;0;70;130;173.1;99.9;82.2;70;80.8;226.4;23.7;40;14.1;23;0;0;0;0;0;8;0;0;0;0;0;0;0
4 O.E.BOUAGHI;261.5;300;451.3;276.7;491.6;301.4;200;200;340.2;294.4;0;0;0;0;240;0;150;0;137.5;316.3;18.1;16;18.1;20;0;42.9;0;450;17.1;0;0;16.9;0;6.2;5.5;0;0
5 BATNA;297.8;218.2;192.6;158.9;234.1;197.9;143.7;163.5;187.2;173.4;183.6;0;0;0;156.6;83.9;248.4;100;143.9;193.8;15.9;16.5;17.7;17.5;0;0;0;0;17.7;0;0;10;0;5;0.6;0;0
6 BEJAIA;214.9;253.1;141.8;46.6;302.9;245.2;161.7;144;263.8;165;132.8;150;92.2;141.8;118.4;48.9;42.5;38.5;155.3;148.6;22.5;27.6;22.3;16.2;0;0;150;450;10;0;0;16.9;15;18;7.5;0;0
7 BISKRA;286.9;1464;190.6;93.6;356.3;118.9;769.2;771.8;466.1;634.4;442.3;0;0;0;152.6;169.5;129.4;110.1;166.1;453;42.2;40.6;29.3;20;0;0;0;0;25;0;25.3;0;0;0;0;0;0
8 BECHAR;213.5;150;253.7;47.9;185.6;115;70;85;130;130;145;0;60;80;115;60;34;45;193.8;165.8;28;22;27.9;14.9;0;0;0;0;36;11.8;9.2;0;0;0;0;0;0
9 BLIDA;478.8;531.5;182.9;82.3;1072.9;134.2;387.6;520.6;268.4;260.8;374.9;162.4;205.6;195.5;144.4;83.5;99.4;60.7;167.2;244.6;29;30.2;24;16;0;0;0;1000;0;0;267.2;0;0;0;18.9;0;0
10 BOUIRA;345.4;292.7;119.4;35;294;218.4;42.5;50.3;149.3;108.1;73.3;35;50.6;155.1;118.4;35.1;36.1;29.2;251.2;279.3;31.6;30.8;27.1;20.6;0;0;0;1410;0;0;0;10.6;0;10.7;11.1;0;0
