Ville;POMMES DE TERRE ;TOMATES ;OIGNONS;AILS ;MELONS PASTEQUES ;CAROTTES;PIMENTS ;POIVRONS ;CONCOMBRES;COURGETTES ;AUBERGINES ;ARTICHAUTS;CHOUX VERTS ;CHOUX FLEURS ;NAVETS;FEVES VERTES ;HARICOTS VERTS ;PETITS POIS;AUTRES LEGUMES;Total;BLE DUR ;BLE TENDRE;ORGE ;AVOINE;TRITICALE ;Mais;Sorgho;Tomates indus;Tabac;Arachides;Autres;Feves feveroles;Pois secs;Lentilles;Pois chiches;Haricots secs;Gesses & guerfalas
1 ADRAR;411;672;713;176;331;648;179;30;141;122;79;0;34;29;234;343;10;219;815;5186;13283;3981;1289;312;0;1262;81;1129;564;181;5;0;0;138;0;0;0
2 CHLEF;4193;587;252;67;1558;59;40;102;20;304;19;650;21;187;14;297;106;376;504;9355;68847;5639;16973;2425;0;0;0;1210;0;0;0;5500;232;1690;2000;0;0
3 LAGHOUAT;3045;350;1080;51;786;721;548;331;120;425;763;0;42;38;432;917;23;68;1160;10900;8035;196;23580;766;0;0;0;0;0;30;0;0;0;0;0;0;0
4 O.E.BOUAGHI;200;200;200;490;415;526;188;239;46;128;0;0;0;0;50;0;6;0;12;2700;63000;45000;105000;2000;0;38;0;143;751;0;0;8;0;702;122;0;0
5 BATNA;1239;280;785;789;967;404;646;211;91;313;88;0;0;0;161;380;100;1;1183;7636;61179;7905;82716;4183;0;0;0;1;212;0;0;48;0;50;8;0;0
6 BEJAIA;170;335;572;185;258;5;200;204;46;220;26;3;17;88;125;328;231;142;607;3762;5652;97;966;139;0;0;2;12;65;0;0;451;15;2;34;0;0
7 BISKRA;328;2503;2470;845;5578;1003;1528;1124;736;1186;879;0;0;0;449;2243;379;1275;1311;23836;13400;5550;12300;110;0;0;0;0;4;0;570;0;0;0;0;0;0
8 BECHAR;297;240;370;150;676;200;80;61;83;89;75;0;9;5;102;129;16;53;728;3363;465;3;1440;261;0;0;0;0;8;25;67;0;0;0;0;0;0
9 BLIDA;580;109;558;29;181;166;53;238;16;120;127;395;437;592;102;344;69;220;2037;6370;6531;1020;512;40;0;0;0;2;0;0;64;0;0;0;5;0;0
10 BOUIRA;6093;202;568;133;447;81;123;95;6;137;15;1;27;138;78;408;63;163;506;9281;47571;6416;14216;1493;0;0;0;25;0;0;0;804;0;112;373;0;0
